Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
T. Secchi,France,23,58,64,"



Rodez Aveyron Football",GK,GK,€250K,600,€254K,888,0.09666666666666666
D. Rodríguez,Peru,18,58,71,"



Melgar FBC",RB,RB,€450K,500,€583K,1372,0.116
Liu Ruofan,China PR,21,58,73,"



Tianjin TEDA FC","RM, RW",RM,€500K,2000,€0,1559,0.029
C. Zabou,France,24,58,64,"



FC Chambly Oise",CAM,CAM,€325K,850,€332K,1309,0.06823529411764706
M. Hosoya,Japan,18,58,73,"



Kashiwa Reysol",ST,ST,€475K,800,€516K,1407,0.0725
P. Bjur,Denmark,20,58,73,"



Brøndby IF","LM, LWB",LM,€500K,2000,€516K,1532,0.029
M. Norman,England,23,58,63,"



Carlisle United",GK,GK,€250K,1000,€237K,949,0.058
S. Zobo,Cameroon,19,58,69,"



Toulouse Football Club",ST,ST,€450K,800,€420K,1412,0.0725
Han Feng,China PR,36,58,58,"



Shijiazhuang Ever Bright F.C.",GK,GK,€25K,750,€31K,1206,0.07733333333333334
O. Millán,Mexico,18,57,74,"



Club Necaxa",ST,ST,€425K,1000,€0,1414,0.057
K. Sadiki,Canada,21,57,69,"



Finn Harps",CB,CB,€375K,500,€298K,1329,0.114
E. Cuevas,Argentina,23,57,64,"



Central Córdoba",CAM,CAM,€325K,2000,€248K,1486,0.0285
J. Tilley,England,22,57,67,"



Grimsby Town","CAM, LM, RW",CAM,€375K,2000,€332K,1491,0.0285
D. Wilmering,Australia,19,57,71,"



Western Sydney Wanderers",LB,LB,€375K,800,€394K,1433,0.07125
C. Kameraj,Kosovo,21,57,71,"



FC Lugano",RWB,RWB,€375K,1000,€436K,1431,0.057
M. Al Wakid,Saudi Arabia,28,57,57,"



Al Hilal",GK,GK,€120K,5000,€136K,1099,0.0114
F. Al Harbi,Saudi Arabia,23,57,63,"



Al Fateh",CB,CB,€240K,4000,€241K,1291,0.01425
M. Fenger,Denmark,18,57,72,"



Odense Boldklub",ST,ST,€375K,1000,€413K,1373,0.057
L. Bősz,Hungary,26,57,61,"



Politehnica Iaşi",GK,GK,€180K,1000,€143K,1004,0.057
E. Isufi,Switzerland,20,57,72,"



FC Basel 1893","RB, CB",CB,€375K,2000,€446K,1379,0.0285
J. van Kaam,Netherlands,18,57,77,"



FC Groningen",RM,RM,€450K,650,€515K,1395,0.0876923076923077
Y. Fofana,France,19,57,74,"



Le Havre AC",GK,GK,€375K,500,€451K,900,0.114
K. Callan-McFadden,Republic of Ireland,25,57,60,"



Sligo Rovers","CB, RB, CDM",CB,€190K,500,€195K,1371,0.114
R. Marshall,England,20,57,66,"



Stevenage",CDM,CB,€350K,1000,€293K,1546,0.057
J. Brown,England,19,57,72,"



Derby County","LB, RB, CB",CB,€375K,2000,€530K,1379,0.0285
A. Famewo,England,21,57,68,"



Charlton Athletic",CB,CB,€350K,1000,€0,1354,0.057
T. Holmes,England,20,57,71,"



Reading","CB, RB",CB,€375K,2000,€530K,1317,0.0285
G. Cuomo,Italy,22,57,70,"



Crotone",CB,CB,€375K,2000,€437K,1202,0.0285
O. Villadsen,Denmark,18,57,74,"



FC Nordsjælland","RB, RW",RB,€400K,600,€375K,1520,0.095
A. Nadj,Sweden,33,57,57,"



BK Häcken",GK,GK,€50K,800,€75K,1025,0.07125
A. Kerouedan,France,20,57,68,"



Rodez Aveyron Football","ST, LW",ST,€375K,800,€351K,1436,0.07125
J. Hindle,England,26,57,59,"



Barrow","ST, RW, LW",ST,€210K,2000,€237K,1407,0.0285
J. Stroud,United States,23,57,64,"



New York Red Bulls","CAM, LM, CM",RM,€325K,1000,€255K,1584,0.057
T. Allen,England,20,57,71,"



Forest Green Rovers","RW, ST",LM,€400K,3000,€546K,1475,0.019
K. Saab,Venezuela,19,57,70,"



AC Mineros de Guayana",RB,RB,€375K,500,€500K,1324,0.114
F. Seiwald,Austria,19,57,70,"



SV Ried",LB,LB,€375K,950,€374K,1396,0.06
M. Tanzmayr,Austria,18,57,73,"



SKN St. Pölten","RW, ST",ST,€425K,850,€436K,1456,0.06705882352941177
T. Savin,England,19,57,70,"



Accrington Stanley",GK,GK,€350K,500,€380K,926,0.114
O. Kensdale,England,20,57,67,"



Colchester United",CB,CB,€325K,2000,€293K,1296,0.0285
A. Al Hajji,Saudi Arabia,24,57,64,"



Al Wehda","CM, CAM",CAM,€325K,4000,€259K,1579,0.01425
�. Cană,Romania,19,57,72,"



FCSB (Steaua)",CB,CB,€375K,1000,€425K,1263,0.057
O. Petersen,Norway,18,57,76,"



Molde FK",GK,GK,€375K,500,€347K,867,0.114
K. Petratos,Australia,22,57,65,"



Newcastle Jets",LM,RM,€375K,800,€218K,1468,0.07125
J. Tugbenyo,Germany,18,57,73,"



SC Paderborn 07","CDM, CB, RB",CB,€400K,850,€445K,1421,0.06705882352941177
S. Bîrsan,Romania,18,57,73,"



Gaz Metan Mediaş",CAM,CAM,€425K,650,€415K,1487,0.0876923076923077
K. Bangunagande,Japan,18,57,73,"



FC Tokyo",LB,LB,€400K,500,€375K,1483,0.114
J. Emmett,England,26,57,59,"



Harrogate Town",CM,RM,€200K,2000,€219K,1575,0.0285
J. Wehking,Germany,20,57,70,"



Fortuna Sittard",GK,GK,€350K,1000,€332K,886,0.057
T. Mayer,Austria,24,57,60,"



Hull City","LW, RW",ST,€220K,1000,€237K,1470,0.057
B. Wdowik,Poland,19,57,69,"



Jagiellonia Białystok",LB,LB,€375K,850,€248K,1368,0.06705882352941177
G. Kelly,Republic of Ireland,23,57,64,"



St. Patrick's Athletic",ST,ST,€325K,700,€0,1332,0.08142857142857143
L. Spokes,England,19,57,66,"



Grimsby Town",CM,RM,€350K,1000,€293K,1620,0.057
Chae Gwang Hoon,Korea Republic,26,57,58,"



Gangwon FC","LB, CB",LB,€180K,1000,€146K,1374,0.057
J. Quintero,Ecuador,21,57,65,"



Emelec",CB,CB,€350K,500,€329K,1311,0.114
A. Sejdič,Germany,23,57,65,"



Montreal Impact","CAM, CM",CAM,€375K,1000,€248K,1557,0.057
I. Cameron,Scotland,19,57,73,"



Kilmarnock","CF, CAM",ST,€425K,900,€523K,1564,0.06333333333333334
A. Majrashi,Saudi Arabia,24,57,66,"



Ettifaq FC","CDM, CM",CDM,€350K,4000,€278K,1505,0.01425
D. Sasaki,Japan,20,57,66,"



Vissel Kobe","CAM, CM",CAM,€350K,1000,€240K,1493,0.057
M. Smith,England,24,57,62,"



Salford City","CM, CDM",CAM,€250K,3000,€256K,1641,0.019
Wang Guoming,China PR,30,57,57,"



Henan Jianye FC",GK,GK,€110K,2000,€109K,1125,0.0285
T. Schmitt,United States,23,57,65,"



Real Salt Lake",RW,ST,€375K,1000,€248K,1497,0.057
K. Moore,Republic of Ireland,30,57,57,"



Shelbourne FC","RM, LM, LB",RM,€160K,550,€155K,1504,0.10363636363636364
E. Holt,United States,23,57,66,"



Real Salt Lake",CB,CB,€350K,1000,€248K,1215,0.057
K. Harr,Korea Republic,20,57,70,"



FC Erzgebirge Aue",GK,GK,€350K,800,€348K,999,0.07125
N. Sansotre,Argentina,26,57,58,"



Club Atlético Tigre","RB, LM",RB,€180K,2000,€168K,1367,0.0285
D. Gueye,Senegal,24,57,63,"



Rodez Aveyron Football",ST,ST,€250K,950,€273K,1375,0.06
K. Tsunemoto,Japan,21,57,66,"



Kashima Antlers","RB, CB",RB,€350K,1000,€203K,1388,0.057
A. O'Hanlon,Republic of Ireland,24,57,62,"



Shelbourne FC","LB, LW, CM",LM,€230K,500,€195K,1623,0.114
C. Anderson,England,19,57,72,"



Wycombe Wanderers",GK,GK,€350K,750,€470K,850,0.076
P. Niyongabire,Burundi,20,57,69,"



Adelaide United",RW,RW,€400K,750,€276K,1420,0.076
K. Arnstad,Norway,16,57,79,"



RSC Anderlecht",CM,CAM,€500K,500,€550K,1531,0.114
A. Barry,France,20,57,68,"



SpVgg Greuther Fürth","CB, CDM, RB",CB,€325K,1000,€280K,1276,0.057
Park Jung In,Korea Republic,19,57,74,"



Ulsan Hyundai FC",CAM,CAM,€425K,850,€424K,1491,0.06705882352941177
B. Castro,Ecuador,18,57,71,"



SD Aucas",GK,GK,€325K,500,€500K,875,0.114
A. Kräuchi,Switzerland,22,57,68,"



FC St. Gallen","RB, RW",LM,€350K,2000,€264K,1477,0.0285
T. Gomulka,Australia,18,57,69,"



Melbourne City FC","CDM, CM",CDM,€350K,550,€232K,1558,0.10363636363636364
S. Mijnans,Netherlands,20,57,71,"



Sparta Rotterdam",CM,ST,€400K,1000,€477K,1670,0.057
F. Cosciuc,Argentina,22,57,67,"



Club Atlético Huracán",CB,CB,€350K,2000,€248K,1269,0.0285
T. Scully,England,20,57,67,"



Accrington Stanley",CM,CAM,€350K,800,€332K,1567,0.07125
C. Marín,Chile,26,57,60,"



Audax Italiano",CM,CDM,€210K,1000,€185K,1593,0.057
M. Johnsen,Norway,19,57,74,"



Feyenoord","CAM, ST",CAM,€425K,750,€0,1484,0.076
B. Lederman,United States,20,57,72,"



Raków Częstochowa",CM,CAM,€400K,950,€454K,1614,0.06
D. Markey,Republic of Ireland,23,57,63,"



St. Patrick's Athletic","CAM, CM",RM,€250K,500,€245K,1601,0.114
S. Sherring,England,20,57,72,"



Bournemouth",CB,CB,€375K,2000,€530K,1364,0.0285
E. Hagen,Norway,20,57,69,"



FK Bodø/Glimt",CM,CAM,€400K,750,€261K,1495,0.076
M. Papela,Germany,19,57,74,"



1. FSV Mainz 05","CM, RB",RM,€425K,2000,€534K,1619,0.0285
R. Connolly,Republic of Ireland,28,57,57,"



Finn Harps","CM, CAM",CM,€160K,500,€155K,1650,0.114
T. Seferi,Albania,23,57,65,"



BSC Young Boys","ST, CAM",ST,€375K,3000,€255K,1476,0.019
A. Baldursson,Iceland,18,57,72,"



Bologna",CM,CDM,€375K,2000,€509K,1535,0.0285
A. Castillo,Chile,21,57,66,"



CD Huachipato",LB,CB,€350K,900,€217K,1463,0.06333333333333334
B. Zahn,Germany,24,57,62,"



SpVgg Greuther Fürth",ST,ST,€250K,2000,€228K,1346,0.0285
T. Özgün,Turkey,20,57,67,"



Hatayspor",ST,ST,€375K,2000,€366K,1389,0.0285
D. Devine,England,22,57,65,"



Carlisle United",CM,CDM,€375K,2000,€293K,1546,0.0285
A. Maciel,Argentina,23,57,67,"



Club Atlético Talleres",CB,CB,€350K,2000,€248K,1316,0.0285
S. Turati,Italy,18,57,76,"



Sassuolo",GK,GK,€375K,500,€419K,886,0.114
G. Mukumbilwa,Canada,20,57,70,"



Vancouver Whitecaps FC","RB, CM, CDM",RB,€375K,900,€374K,1478,0.06333333333333334
A. Reynolds II,United States,19,57,73,"



Chicago Fire",LB,LB,€400K,650,€446K,1417,0.0876923076923077
A. Delgado,Chile,25,57,62,"



Audax Italiano",CAM,CAM,€240K,1000,€200K,1502,0.057
B. Kırdaroğlu,Turkey,19,57,72,"



Göztepe SK",LM,LM,€400K,2000,€578K,1429,0.0285
J. Barjonas,Scotland,21,57,71,"



Rangers FC",CM,CAM,€400K,6000,€558K,1559,0.0095
M. Williams,England,20,57,71,"



Coventry City",CB,CB,€375K,4000,€520K,1347,0.01425
E. Sierra,Belgium,18,57,74,"



KRC Genk","CM, CAM",CAM,€425K,900,€446K,1507,0.06333333333333334
S. Asoma,Belgium,17,57,76,"



Club Brugge KV","CDM, CB",CDM,€400K,500,€385K,1526,0.114
B. Roux,France,20,57,68,"



En Avant de Guingamp",CB,CB,€325K,1000,€320K,1324,0.057
Y. Al Harbi,Saudi Arabia,23,57,65,"



Al Ahli",CDM,CDM,€350K,5000,€266K,1532,0.0114
A. Al Hejaili,Saudi Arabia,22,57,65,"



Damac FC","LM, CAM",LM,€375K,3000,€278K,1460,0.019
L. Coveliers,Belgium,19,57,71,"



KV Mechelen",CDM,CB,€375K,1000,€446K,1450,0.057
A. Negrea,Romania,21,57,67,"



Chindia Târgovişte",LB,LB,€350K,750,€233K,1403,0.076
A. Casar,Slovenia,19,57,71,"



SCR Altach","CM, CAM, CDM",CAM,€400K,1000,€457K,1506,0.057
I. Mihaljević,Croatia,18,57,72,"



Bayern München II",CB,CB,€350K,500,€415K,1289,0.114
A. Al Samtai,Saudi Arabia,26,57,62,"



Damac FC",CDM,CDM,€220K,3000,€207K,1518,0.019
S. Guidotti,Switzerland,21,57,71,"



FC Lugano",CM,CM,€400K,1000,€477K,1440,0.057
A. Roscrow,Wales,25,57,62,"



AFC Wimbledon",ST,ST,€240K,2000,€256K,1453,0.0285
A. Aidonis,Germany,19,57,70,"



VfB Stuttgart","CB, RB",CB,€375K,2000,€437K,1392,0.0285
H. Crookside,Australia,29,57,57,"



Macarthur FC","CM, CDM",CM,€160K,600,€125K,1458,0.095
J. Rengifo,Colombia,23,57,65,"



Millonarios FC",ST,CAM,€375K,800,€233K,1419,0.07125
M. Liesegang,Germany,20,57,65,"



1. FSV Mainz 05",GK,GK,€300K,2000,€240K,918,0.0285
N. Tzanev,New Zealand,23,57,66,"



AFC Wimbledon",GK,GK,€325K,900,€234K,978,0.06333333333333334
T. Durso,Argentina,21,57,67,"



Gimnasia y Esgrima La Plata",GK,GK,€325K,1000,€215K,869,0.057
F. Trinidad,Uruguay,18,57,78,"



Liverpool Fútbol Club",CAM,CAM,€525K,500,€725K,1471,0.114
S. Čolović,Serbia,26,57,58,"



Dundalk","RM, CAM",RM,€190K,700,€195K,1454,0.08142857142857143
I. Golosov,Russia,18,57,70,"



Spartak Moscow",LB,LB,€375K,2000,€378K,1414,0.0285
A. Catalán,Mexico,19,57,72,"



Mazatlán FC",LB,CB,€375K,1000,€488K,1392,0.057
A. Paluszek,Poland,19,57,72,"



Górnik Zabrze",CB,CB,€375K,550,€415K,1270,0.10363636363636364
Yang Shiyuan,China PR,26,57,62,"



Shanghai SIPG FC","CDM, CM",CDM,€220K,2000,€201K,1512,0.0285
S. Lammens,Belgium,17,57,76,"



Club Brugge KV",GK,GK,€350K,500,€344K,895,0.114
L. Margueron,France,19,57,70,"



Clermont Foot 63",GK,GK,€350K,500,€380K,857,0.114
R. Cassidy,Republic of Ireland,19,57,71,"



Accrington Stanley",ST,ST,€400K,2000,€0,1442,0.0285
R. García,Mexico,20,57,65,"



Atlético de San Luis",CM,CM,€350K,2000,€285K,1583,0.0285
T. Cantoro,Argentina,19,57,70,"



Club Atlético Grau",ST,ST,€400K,500,€555K,1393,0.114
L. Barraza,United States,23,57,67,"



New York City FC",GK,GK,€325K,850,€221K,882,0.06705882352941177
T. Wilson,Republic of Ireland,20,57,68,"



Waterford FC",LB,LB,€350K,500,€280K,1437,0.114
J. Serrano,Venezuela,17,57,71,"



Zamora FC",ST,ST,€375K,500,€583K,1441,0.114
A. Al Salem,Saudi Arabia,27,57,58,"



Al Adalah",LB,LB,€170K,3000,€173K,1389,0.019
B. M'Bondo,France,18,57,68,"



Chamois Niortais Football Club",CB,CB,€325K,500,€293K,1297,0.114
A. Majrashi,Saudi Arabia,20,57,71,"



Al Shabab",RB,RB,€375K,3000,€488K,1473,0.019
L. Rangel,Venezuela,18,57,68,"



Zamora FC",CB,CB,€325K,500,€353K,1355,0.114
J. Shcherbakovski,Belarus,19,57,72,"



Hallescher FC","RM, CM",LM,€400K,600,€457K,1384,0.095
Y. Nishimura,Japan,20,57,67,"



Shimizu S-Pulse",CDM,CB,€350K,550,€232K,1564,0.10363636363636364
R. Howard,England,20,57,71,"



Southend United","RB, CDM",RB,€375K,1000,€499K,1458,0.057
A. Hirtlreiter,Germany,17,57,78,"



SpVgg Unterhaching","RM, CF",RW,€525K,500,€564K,1407,0.114
K. Ishii,Japan,20,57,68,"



Sagan Tosu",ST,CAM,€375K,750,€261K,1464,0.076
Y. Dülger,Turkey,24,57,63,"



Kasimpaşa SK","LW, RW, CF",ST,€250K,2000,€308K,1444,0.0285
J. Münzner,Germany,20,57,70,"



FC St. Pauli","CDM, CB",CDM,€375K,2000,€413K,1496,0.0285
D. Webster,Republic of Ireland,30,57,57,"



Finn Harps","CB, RWB",CB,€130K,500,€124K,1364,0.114
M. Arturia,Argentina,22,57,68,"



Club Atlético Talleres",ST,ST,€375K,2000,€297K,1360,0.0285
S. Beccari,Italy,21,57,66,"



WSG Tirol",GK,GK,€325K,950,€215K,935,0.06
A. Sher,Sweden,17,57,71,"



Hammarby IF",CM,CAM,€375K,500,€375K,1505,0.114
A. Martin,England,28,57,57,"



Harrogate Town",ST,ST,€170K,2000,€193K,1428,0.0285
K. Askildsen,Norway,19,57,77,"



Sampdoria",CM,CM,€450K,2000,€616K,1538,0.0285
M. Jenz,Germany,21,57,67,"



FC Lausanne-Sport",CB,CB,€350K,2000,€248K,1329,0.0285
A. Linguet,France,20,57,68,"



Valenciennes FC","RB, CB, RWB",RB,€350K,750,€312K,1369,0.076
Lim Eun Soo,Korea Republic,24,57,64,"



Incheon United FC","CM, CDM",CDM,€325K,750,€203K,1505,0.076
Kim Min Ho,Korea Republic,20,57,68,"



Sagan Tosu",GK,GK,€300K,500,€203K,875,0.114
G. Coelho,France,20,57,65,"



Rodez Aveyron Football",RWB,CB,€350K,650,€273K,1445,0.0876923076923077
E. Penilla,Venezuela,24,57,62,"



Estudiantes de Mérida",CB,CB,€220K,500,€267K,1334,0.114
J. Hanek,Germany,21,57,65,"



Karlsruher SC","CM, CDM",CM,€375K,2000,€263K,1485,0.0285
C. Kilduff,Republic of Ireland,31,57,57,"



Shelbourne FC",ST,ST,€140K,600,€140K,1424,0.095
A. Long,France,23,57,67,"



FC Sochaux-Montbéliard",GK,GK,€325K,700,€254K,863,0.08142857142857143
S. Müller,Germany,19,57,76,"



DSC Arminia Bielefeld",ST,ST,€425K,2000,€534K,1324,0.0285
M. McGinley,Republic of Ireland,30,57,58,"



Finn Harps",GK,GK,€120K,500,€130K,988,0.114
K. Stratznig,Austria,18,57,75,"



Wolfsberger AC","CDM, CM",CM,€400K,700,€415K,1531,0.08142857142857143
L. Rojas,Chile,18,57,79,"



Crotone","CAM, CM",CAM,€525K,750,€644K,1411,0.076
K. Nsona,France,18,57,78,"



Stade Malherbe Caen","LW, LM, RM",LW,€525K,650,€644K,1363,0.0876923076923077
D. Adeniran,England,21,57,67,"



Wycombe Wanderers","CM, CDM",CDM,€375K,8000,€0,1577,0.007125
M. Barker,Republic of Ireland,26,57,57,"



Bohemian FC","CB, RB",CB,€160K,550,€155K,1518,0.10363636363636364
M. Hilgers,Netherlands,19,57,72,"



FC Twente",CB,CB,€375K,850,€436K,1438,0.06705882352941177
H. Stenevik,Norway,20,57,74,"



Strømsgodset IF",RW,RM,€425K,800,€431K,1410,0.07125
Z. Brunt,England,18,57,77,"



Sheffield United","CAM, CM",CAM,€450K,2000,€609K,1462,0.0285
C. Coleman,Republic of Ireland,23,57,66,"



Cork City","CM, CDM",CDM,€375K,600,€280K,1597,0.095
J. Hamilton,Scotland,18,57,79,"



Hamilton Academical FC",CB,CB,€500K,500,€605K,1277,0.114
D. Klein,Germany,19,57,75,"



TSG 1899 Hoffenheim",GK,GK,€375K,2000,€442K,841,0.0285
S. Al Dosari,Saudi Arabia,28,57,57,"



Al Fateh",RM,RM,€170K,5000,€165K,1568,0.0114
A. Aliev,Sweden,23,57,64,"



Varbergs BoIS","ST, CAM",ST,€325K,550,€218K,1405,0.10363636363636364
P. Sturm,Austria,21,57,66,"



TSV Hartberg","RM, CM, CAM",RM,€375K,1000,€264K,1474,0.057
J. Griffiths,England,18,57,77,"



Cheltenham Town",GK,GK,€400K,950,€0,880,0.06
L. Mosquera,Venezuela,19,57,68,"



Zamora FC",CM,CAM,€350K,500,€400K,1482,0.114
P. Seagrist,United States,22,57,67,"



New York Red Bulls",LB,LWB,€350K,1000,€255K,1427,0.057
D. Musovski,United States,24,57,61,"



Los Angeles FC",ST,ST,€240K,1000,€221K,1332,0.057
J. Ras,Netherlands,21,57,69,"



SC Heerenveen",CM,CAM,€400K,1000,€297K,1603,0.057
D. Gallardo,Argentina,23,57,62,"



Club Atlético Tigre",RM,RM,€250K,2000,€214K,1361,0.0285
I. Șerban,Romania,24,57,64,"



Dinamo Bucureşti",CDM,CDM,€300K,1000,€202K,1463,0.057
J. Cataldi,Argentina,21,57,71,"



Club Bolívar",CM,RM,€400K,500,€638K,1556,0.114
N. Tié,Ivory Coast,19,57,73,"



Vitória Guimarães",GK,GK,€375K,550,€518K,1150,0.10363636363636364
G. Kyeremeh,France,20,57,73,"



Stade Malherbe Caen",LM,RM,€425K,1000,€558K,1428,0.057
G. Vagiannidis,Greece,18,57,72,"



Sint-Truidense VV",RB,RB,€375K,650,€415K,1474,0.0876923076923077
E. López,Mexico,21,57,67,"



Club Tijuana",CAM,CAM,€375K,2000,€323K,1526,0.0285
R. Öktem,Turkey,23,57,63,"



Alanyaspor","CM, CDM",CAM,€250K,2000,€308K,1585,0.0285
P. Maghoma,England,19,57,72,"



Brentford",CM,RM,€400K,4000,€556K,1571,0.01425
M. Trías,Venezuela,21,57,65,"



Aragua FC",CB,CB,€350K,500,€329K,1416,0.114
H. Yurtseven,Turkey,19,57,70,"



Gazişehir Gaziantep F.K.",CM,CAM,€400K,1000,€499K,1531,0.057
B. Koumetio,France,17,57,79,"



Liverpool",CB,CB,€500K,500,€599K,1319,0.114
E. Bravo,Mexico,29,57,57,"



Querétaro",GK,GK,€110K,1000,€116K,867,0.057
E. Patoulidis,Belgium,18,57,72,"



KV Oostende","CAM, CM",CAM,€375K,700,€436K,1491,0.08142857142857143
J. Paradela,Argentina,21,57,70,"



Gimnasia y Esgrima La Plata","CM, CDM",CAM,€400K,2000,€415K,1573,0.0285
G. Șerban,Romania,20,57,72,"



Astra Giurgiu","CM, CDM, CAM",CDM,€400K,1000,€454K,1591,0.057
H. Holguín,United States,19,57,72,"



Santos Laguna",GK,GK,€350K,1000,€442K,1054,0.057
P. Besong,Germany,19,57,74,"



1. FC Nürnberg",ST,ST,€425K,1000,€490K,1425,0.057
Sun Le,China PR,30,57,57,"



Shanghai SIPG FC",GK,GK,€110K,2000,€112K,1060,0.0285
A. Drinan,Republic of Ireland,22,57,66,"



Ipswich Town",ST,ST,€375K,2000,€312K,1373,0.0285
C. Moreno,Mexico,22,57,66,"



Pachuca",GK,GK,€325K,2000,€228K,910,0.0285
S. Tanaka,Japan,23,57,64,"



Hokkaido Consadole Sapporo",CB,CB,€300K,900,€189K,1330,0.06333333333333334
Park Soo Il,Korea Republic,24,57,63,"



Seongnam FC","LB, CM, ST",CAM,€240K,800,€189K,1548,0.07125
J. Viscosi,Canada,29,57,59,"



IK Sirius",GK,GK,€140K,650,€119K,835,0.0876923076923077
K. Konno,Japan,22,57,63,"



FC Tokyo","RM, LM, CAM",CAM,€275K,2000,€203K,1464,0.0285
J. Kroesen,Netherlands,17,57,75,"



SC Heerenveen",GK,GK,€350K,500,€353K,953,0.114
C. Canales,Peru,28,57,57,"



Club Atlético Grau",CDM,CDM,€140K,500,€194K,1556,0.114
N. Andereggen,Argentina,20,57,71,"



Unión de Santa Fe",ST,ST,€400K,2000,€489K,1462,0.0285
E. Oubella,Germany,19,57,69,"



Heracles Almelo",CB,CB,€375K,700,€281K,1376,0.08142857142857143
D. Titov,Latvia,20,57,71,"



St. Patrick's Athletic","RWB, RW",RWB,€375K,500,€457K,1350,0.114
Cheon Seong-Hoon,Korea Republic,19,57,74,"



FC Augsburg",ST,ST,€425K,3000,€534K,1386,0.019
J. Arce,Ecuador,20,57,70,"



LDU Quito",CAM,ST,€400K,500,€565K,1488,0.114
M. Kvistgaarden,Denmark,18,57,78,"



Brøndby IF",ST,ST,€525K,1000,€540K,1516,0.057
K. Adams,New Zealand,23,57,64,"



Houston Dynamo","LB, CB",LB,€300K,1000,€215K,1359,0.057
E. Obi,Nigeria,19,57,73,"



Wigan Athletic",CB,CB,€400K,500,€499K,1247,0.114
W. Dennis,England,19,57,72,"



Bournemouth",GK,GK,€350K,700,€480K,915,0.08142857142857143
T. Walbrecht,Germany,18,57,73,"



SV Wehen Wiesbaden","CDM, CB",CB,€400K,1000,€0,1447,0.057
B. Provoste,Chile,20,57,74,"



Colo-Colo","CM, CAM",CAM,€425K,1000,€466K,1599,0.057
C. Núñez,Paraguay,20,57,69,"



Club Atlético Huracán",RM,RM,€400K,2000,€314K,1466,0.0285
Lee Ho Seok,Korea Republic,29,57,57,"



Incheon United FC",CM,CF,€160K,850,€125K,1634,0.06705882352941177
T. Yamakawa,Japan,22,57,64,"



Vissel Kobe",CB,CB,€300K,1000,€195K,1258,0.057
I. Brînză,Moldova,21,57,69,"



Politehnica Iaşi",GK,GK,€350K,950,€0,904,0.06
A. Spina,Argentina,18,57,69,"



Club Atlético Huracán","CAM, CM",CAM,€375K,950,€281K,1523,0.06
Y. Touré,Switzerland,19,57,74,"



Newcastle United","ST, LM",ST,€425K,4000,€556K,1398,0.01425
B. Fomba,Mali,20,57,71,"



Chindia Târgovişte",CB,CB,€375K,750,€415K,1297,0.076
M. Luyambula,DR Congo,21,57,70,"



VfB Lübeck",GK,GK,€350K,500,€332K,835,0.114
A. Gracés,Uruguay,19,57,68,"



Liverpool Fútbol Club",CB,CB,€325K,500,€376K,1388,0.114
R. Strączek,Poland,21,57,67,"



Stal Mielec",GK,GK,€325K,500,€202K,886,0.114
L. Mack,Germany,20,57,72,"



VfB Stuttgart","CB, CDM, RB",CB,€375K,2000,€509K,1369,0.0285
D. Riccardi,Italy,24,57,63,"



Lecce",CB,CB,€240K,4000,€260K,1247,0.01425
R. Dadok,Poland,23,57,63,"



Stal Mielec","ST, CAM",ST,€250K,850,€217K,1532,0.06705882352941177
J. Otero,Venezuela,26,57,60,"



Caracas FC",ST,ST,€220K,500,€289K,1572,0.114
D. Pierias,Australia,20,57,69,"



Western United FC","RWB, RW",RM,€375K,500,€247K,1451,0.114
A. Vázquez,Uruguay,18,57,71,"



Liverpool Fútbol Club",CM,CAM,€375K,500,€583K,1481,0.114
J. García,Colombia,23,57,64,"



Millonarios FC",CM,CM,€325K,700,€217K,1475,0.08142857142857143
L. Müller,Germany,19,57,72,"



SV Darmstadt 98","CAM, CM",CAM,€400K,2000,€490K,1486,0.0285
E. Escobar,Uruguay,21,57,65,"



Liverpool Fútbol Club",ST,ST,€375K,500,€376K,1445,0.114
S. Ottesen,Norway,19,57,73,"



Stabæk Fotball","RB, CB",CB,€400K,500,€394K,1416,0.114
C. Klaus,Germany,26,57,62,"



SV Darmstadt 98",GK,GK,€190K,2000,€168K,895,0.0285
Ji Xiaoxuan,China PR,27,57,58,"



AJ Auxerre",CAM,CAM,€190K,1000,€225K,1433,0.057
M. Al Subaie,Saudi Arabia,24,57,62,"



Al Raed",LM,RM,€250K,3000,€242K,1502,0.019
K. Koreniuk,United States,22,57,67,"



LA Galaxy",LM,LM,€375K,1000,€289K,1388,0.057
M. Doué,France,19,57,71,"



PEC Zwolle",CB,CB,€375K,850,€436K,1331,0.06705882352941177
D. Szot,Poland,19,57,75,"



Wisła Kraków",CB,CB,€400K,500,€415K,1369,0.114
N. Langras,Netherlands,19,57,64,"



RKC Waalwijk",RB,RB,€300K,650,€215K,1426,0.0876923076923077
S. Rodríguez,Colombia,21,57,67,"



Independiente Medellín",ST,ST,€375K,600,€264K,1403,0.095
M. Sevimler,Turkey,21,57,65,"



Alanyaspor",ST,ST,€375K,2000,€352K,1390,0.0285
S. High,England,19,57,77,"



Shrewsbury",CM,CAM,€450K,3000,€0,1548,0.019
I. Davies,Wales,18,57,74,"



Cardiff City",ST,ST,€425K,2000,€556K,1406,0.0285
S. Mensah,Germany,20,57,69,"



SpVgg Unterhaching","LM, RM",LM,€400K,950,€314K,1381,0.06
D. Serpezis,Greece,19,57,72,"



Panathinaikos FC","CAM, CM",RM,€400K,500,€622K,1546,0.114
